Vote by Gender,Men,45,53,2
Vote by Gender,Women,55,44,1
Vote by Age,18-29,60,38,2
Vote by Age,30-44,51,46,3
Vote by Age,45-64,47,51,2
Vote by Age,65 and Older,44,55,1
Vote by Age,18-24,61,37,2
Vote by Age,25-29,60,38,2
Vote by Age,30-39,54,43,3
Vote by Age,40-49,47,52,1
Vote by Age,50-64,47,51,2
Vote by Age,65 and Older,44,55,1
Vote by Race,White,39,59,2
Vote by Race,African-American,91,8,1
Vote by Race,Latino,68,30,2
Vote by Race,Asian,73,25,2
Vote by Race,Other,58,37,5
Vote by Gender and Race,White Men,36,62,2
Vote by Gender and Race,White Women,43,55,2
Vote by Gender and Race,Black Men,86,13,1
Vote by Gender and Race,Black Women,94,5,1
Vote by Gender and Race,Latino Men,61,37,2
Vote by Gender and Race,Latino Women,74,24,2
Vote by Gender and Race,All Others,66,31,3
Vote by Age and Race,White 18-29 Year Olds,46,52,2
Vote by Age and Race,Latino 39-44 Year Olds,69,30,1
Vote by Age and Race,Latino 45-64 Year Olds,65,33,2
Vote by Age and Race,Latinos Over 65 Years Old,66,33,1
Vote by Age and Race,All Others,66,31,3
Vote by Age and Race,White 39-44 Year Olds,38,60,2
Vote by Age and Race,White 45-64 Year Olds,38,60,2
Vote by Age and Race,Whites Over 65 Years Old,39,60,1
Vote by Age and Race,Black 18-29 Year Olds,90,9,1
Vote by Age and Race,Black 39-44 Year Olds,91,7,2
Vote by Age and Race,Black 45-64 Year Olds,91,8,1
Vote by Age and Race,Blacks Over 65 Years Old,91,9,0
Vote by Age and Race,Latino 18-29 Year Olds,71,27,2
Vote by Ideology,Liberal,86,12,2
Vote by Ideology,Moderate,57,41,2
Vote by Ideology,Conservative,16,82,2
Vote by Party ID,Democratic,94,6,0
Vote by Party ID,Republican,5,94,1
Vote by Party ID,Independent,44,51,5
Vote by Education,No High School,62,35,3
Vote by Education,High School Graduate,52,46,2
Vote by Education,Some College,48,50,2
Vote by Education,College Graduate,46,52,2
Vote by Education,Postgraduate,55,43,2
Are You a College Graduate?,Yes,50,48,2
Are You a College Graduate?,No,51,48,1
Did You Attend College?,Yes,49,49,2
Did You Attend College?,No,54,45,1
Vote by Income,Less Than $50K,59,39,2
Vote by Income,$50-100K,46,52,2
Vote by Income,$100K or More,42,56,2
Vote by Income,Less Than $50K,59,39,2
Vote by Income,$50K or More,45,54,1
Vote by Income,Less Than $100K,54,45,1
Vote by Income,$100K or More,42,56,2
How Often Do You Attend Religious Services?,More Than Weekly,36,63,1
How Often Do You Attend Religious Services?,Weekly,42,56,2
How Often Do You Attend Religious Services?,Monthly,51,46,3
How Often Do You Attend Religious Services?,Few Times a Year,55,43,2
How Often Do You Attend Religious Services?,Never,60,38,2
How Often Do You Attend Religious Services?,Weekly,40,58,2
How Often Do You Attend Religious Services?,Occasionally,54,44,2
How Often Do You Attend Religious Services?,Never,60,38,2
Vote by Religion,Protestant,41,58,1
Vote by Religion,Catholic,50,49,1
Vote by Religion,Jewish,69,29,2
Vote by Religion,Other,73,23,4
Vote by Religion,None,71,27,2
Vote by Religion and Race,White Protestant,29,70,1
Vote by Religion and Race,White Catholic,39,59,2
Vote by Religion and Race,White Jewish,70,28,2
Vote by Religion and Race,Whites/Other Religion,61,33,6
Vote by Religion and Race,Whites/No Religion,67,31,2
Vote by Religion and Race,Non-white,78,20,2
Vote by Religion and Church Attendance,Protestant/Attend Weekly,31,68,1
Vote by Religion and Church Attendance,Protestant/Not Weekly ,42,57,1
Vote by Religion and Church Attendance,Catholic/Attend Weekly,42,56,2
Vote by Religion and Church Attendance,Catholic/Not Weekly,52,46,2
Vote by Religion and Church Attendance,All Others,58,40,2
Are You White Born-Again Christian?,Yes,20,78,2
Are You White Born-Again Christian?,No,59,39,2
Abortion Should Be...,Always Legal,74,25,1
Abortion Should Be...,Mostly Legal,55,43,2
