Age,18-29,60,36,0
Age,30-44,52,46,0
Age,45-64,49,50,0
Age,65 or older,47,52,0
Age,18-24,65,31,0
Age,25-29,54,43,0
Age,30-39,51,46,0
Age,40-49,54,44,0
Age,50-64,47,52,0
Age,65 or older,47,52,0
Family's financial situation today:,Better than four years ago,26,72,0
Family's financial situation today:,Worse than four years ago,77,20,0
Family's financial situation today:,About the same,65,34,0
Life for the next generation of Americans will be:,Better than today,55,44,0
Life for the next generation of Americans will be:,Worse than today,52,45,0
Life for the next generation of Americans will be:,About the same,40,58,0
Marital status,Married,46,53,0
Marital status,Not married,58,40,0
Condition of the nation's economy:,Excellent,16,84,0
Condition of the nation's economy:,Good,24,75,0
Condition of the nation's economy:,Not so good,76,22,0
Condition of the nation's economy:,Poor,87,10,0
Party ID,Democrat,94,5,0
Party ID,Republican,6,94,0
Party ID,Independent,54,41,0
Ideology,Liberal,89,10,0
Ideology,Moderate,64,34,0
Ideology,Conservative,14,85,0
Race,White,41,58,0
Race,Black,87,12,0
Race,Latino,65,32,0
Race,Asian,61,34,0
Race,Other racial/ethnic groups,55,41,0
Region,East,58,41,0
Region,Midwest,47,51,0
Region,South,46,53,0
Region,West,57,41,0
Religion,Protestant/Other Christian,39,60,0
Religion,Catholic,52,47,0
Religion,Jewish,-1,-1,0
Religion,Other religious affiliation,69,29,0
Religion,No religious affiliation,65,31,0
Gender,Male,45,53,0
Gender,Female,57,42,0
Area type,Urban,60,38,0
Area type,Suburban,50,48,0
Area type,Rural,42,57,0
Work full time?,Yes,47,51,0
Work full time?,No,57,42,0
U.S. House Vote,Democrat,95,4,0
U.S. House Vote,Republican,4,95,0
Condition of the nation's economy:,Excellent/Good,22,78,0
Condition of the nation's economy:,Not good/Poor,80,17,0
Abortion should be:,Legal in all cases,80,18,0
Abortion should be:,Legal in most cases,68,30,0
Abortion should be:,Illegal in most cases,27,72,0
Abortion should be:,Illegal in all cases,18,81,0
U.S. military veteran?,Yes,44,54,0
U.S. military veteran?,No,53,45,0
Religion among White voters,White Protestant,27,72,0
Religion among White voters,White Catholic,44,56,0
Religion among White voters,White Jewish,-1,-1,0
Religion among White voters,"White, another religion",65,33,0
Religion among White voters,"White, no religious affiliation",61,37,0
Income,"Less than $50,000",55,44,0
Income,"$50,000 or more",51,47,0
Vote for president mainly:,For your candidate,46,53,0
Vote for president mainly:,Against his opponent,68,30,0
Income,"Less than $100,000",56,43,0
Income,"$100,000 or more",42,54,0
White born-again or evangelical Christian?,Yes,24,76,0
White born-again or evangelical Christian?,No,62,36,0
How confident that votes will be counted accurately?,Very confident,52,47,0
How confident that votes will be counted accurately?,Somewhat confident,56,42,0
How confident that votes will be counted accurately?,Not very confident,34,61,0
How confident that votes will be counted accurately?,Not at all confident,31,66,0
How confident that votes will be counted accurately?,Confident,54,45,0
How confident that votes will be counted accurately?,Not confident,33,63,0
Abortion should be:,Legal,74,24,0
Abortion should be:,Illegal,23,76,0
Gender by marital status,Married men,44,55,0
Gender by marital status,Married women,47,51,0
Gender by marital status,Unmarried men,52,45,0
Gender by marital status,Unmarried women,63,36,0
Parents,Men with children,48,49,0
Parents,Women with children,56,43,0
Parents,Men no children,47,51,0
Parents,Women no children,55,44,0
Sex by race,White men,38,61,0
